Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-06-5414	6.202	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5414-01A-01R-1849-01.SJ.out.tab
TCGA-06-5415	9.0004	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5415-01A-01R-1849-01.SJ.out.tab
TCGA-06-5416	3.4214	SF3B1:E862K	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5416-01A-01R-1849-01.SJ.out.tab
TCGA-06-5417	1.2404	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5417-01A-01R-1849-01.SJ.out.tab
TCGA-06-5418	5.3453	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5418-01A-01R-1849-01.SJ.out.tab
TCGA-06-5856	5.5192	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5856-01A-01R-1849-01.SJ.out.tab
TCGA-06-5858	5.532	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5858-01A-01R-1849-01.SJ.out.tab
TCGA-06-5859	5.8162	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-06-5859-01A-01R-1849-01.SJ.out.tab
TCGA-08-0386	5.258	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-08-0386-01A-01R-1849-01.SJ.out.tab
TCGA-12-0616	3.364	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-0616-01A-01R-1849-01.SJ.out.tab
TCGA-12-0618	6.5134	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-0618-01A-01R-1849-01.SJ.out.tab
TCGA-12-0619	5.9849	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-0619-01A-01R-1849-01.SJ.out.tab
TCGA-12-0821	5.2639	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-0821-01A-01R-1849-01.SJ.out.tab
TCGA-12-1597	4.2639	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-1597-01B-01R-1849-01.SJ.out.tab
TCGA-12-3650	2.9001	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-3650-01A-01R-1849-01.SJ.out.tab
TCGA-12-3652	4.4054	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-3652-01A-01R-1849-01.SJ.out.tab
TCGA-12-3653	3.3042	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-3653-01A-01R-1849-01.SJ.out.tab
TCGA-12-5295	4.156	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-5295-01A-01R-1849-01.SJ.out.tab
TCGA-12-5299	5.7776	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-12-5299-01A-02R-1849-01.SJ.out.tab
TCGA-14-0781	6.2995	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-0781-01B-01R-1849-01.SJ.out.tab
TCGA-14-0787	3.2213	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-14-0787-01A-01R-1849-01.SJ.out.tab
